name,brand,description,product_id,availability,price (NRs),avg_rating
OraVet Dental Hygiene Chews for X-Small Dogs 3.5-9 Lbs,OraVet,OraVet Dental Hygiene Chews for X-Small Dogs 3.5-9 Lbs,5313161,1,1423.8125,4.265497674418605
Drymate and reg; Kitty Waterproof Personalized Cat Mat,Drymate,Drymate and reg; Kitty Waterproof Personalized Cat Mat,5192165,1,2373.8125,4.5
"Only Natural Pet and reg; PowerFood  Adult Dry Dog Food - Poultry, High-Protein, Grain Free",Only Natural Pet,"Only Natural Pet and reg; PowerFood  Adult Dry Dog Food - Poultry, High-Protein, Grain Free",5301414,1,5223.8125,4.508
PetSafe and reg; Elite Little Dog Spray Bark Control Dog Collar,PetSafe,PetSafe and reg; Elite Little Dog Spray Bark Control Dog Collar,5136626,1,10681.5625,3.2877
Top Paw and reg; Ring Dog Toy - Squeaker,Top Paw,Top Paw and reg; Ring Dog Toy - Squeaker,5318646,1,592.5625,4.4
Dentley's and reg; Extra Tough 10 and quot; Rawhide Rolls Dog Chew - 7 Count,Dentley's,Dentley's and reg; Extra Tough 10 and quot; Rawhide Rolls Dog Chew - 7 Count,5277811,1,2136.3125,4.6667
K and amp;H Clubhouse Cat Bed,K&amp;H,K and amp;H Clubhouse Cat Bed,5172481,1,7717.562499999999,4.6667
Whisker City and reg; Mouse Teaser Cat Toy,Whisker City,Whisker City and reg; Mouse Teaser Cat Toy,5288496,0,245.81249999999997,4.4516
Hill's and reg; Prescription Diet and reg; i/d Digestive Care Cat Food - Chicken,Hill's Prescription Diet,Hill's and reg; Prescription Diet and reg; i/d Digestive Care Cat Food - Chicken,5072130,1,307.5625,4.119
"Top Paw and reg; Americana Bone Dog Toy - Plush, Squeaker",Top Paw,"Top Paw and reg; Americana Bone Dog Toy - Plush, Squeaker",5327517,0,293.3125,2.3333
"Made By Nacho and amp;trade; Pate Wet Cat Food - Natural, 3 oz",Made by Nacho,"Made By Nacho and amp;trade; Pate Wet Cat Food - Natural, 3 oz",5322182,0,224.4375,4.265497674418605
Pets First and copy; New England Patriots Mascot Long Dog Toy,Pets First,Pets First and copy; New England Patriots Mascot Long Dog Toy,5300089,0,1898.8125,4.265497674418605
"High Tech Pet and reg; Wi-Fi Enabled Smartphone Controlled Electronic Patio Dog  and amp; Cat Door, Regular",High Tech Pet,"High Tech Pet and reg; Wi-Fi Enabled Smartphone Controlled Electronic Patio Dog  and amp; Cat Door, Regular",5320572,1,94998.8125,4.265497674418605
"Purina Pro Plan Savor Indoor Adult Dry Cat Food - High-Protein, Turkey  and amp; Rice",Purina Pro Plan,"Purina Pro Plan Savor Indoor Adult Dry Cat Food - High-Protein, Turkey  and amp; Rice",5266920,1,2017.5624999999998,4.6
"Hill's and reg; Science Diet and reg; Adult Wet Cat Food - Minced, 5.5 oz",Hill's Science Diet,"Hill's and reg; Science Diet and reg; Adult Wet Cat Food - Minced, 5.5 oz",1021242,1,233.9375,4.4194
"Fancy Feast and reg; Medleys Adult Cat Wet Food - 3.33 oz., High-Protein",Fancy Feast,"Fancy Feast and reg; Medleys Adult Cat Wet Food - 3.33 oz., High-Protein",5310577,0,124.6875,4.6111
"Greenies and amp;trade; Feline Greenies SmartBites Indoor Care Adult Cat Treats - Natural, Tuna",Greenies,"Greenies and amp;trade; Feline Greenies SmartBites Indoor Care Adult Cat Treats - Natural, Tuna",5182470,1,295.6875,4.7558
Purina and reg; Friskies and reg; Tasty Treasures Adult Cat Wet Food - 9.4 lb.,Friskies,Purina and reg; Friskies and reg; Tasty Treasures Adult Cat Wet Food - 9.4 lb.,5282141,0,2148.1875,4.5172
Trixie Moriles Cat Tree,Trixie,Trixie Moriles Cat Tree,5181514,1,10330.0625,3.5
"Purina Pro Plan Complete Essentials Adult Wet Cat Food - High-Protein, With Vitamins, 3 Oz",Purina Pro Plan,"Purina Pro Plan Complete Essentials Adult Wet Cat Food - High-Protein, With Vitamins, 3 Oz",5230668,1,161.5,4.7273
"Wellness and reg; CORE and reg; 95% Wet Cat Food - Natural, Grain Free",Wellness,"Wellness and reg; CORE and reg; 95% Wet Cat Food - Natural, Grain Free",5280656,1,378.8125,3.875
"Nature's Variety and reg; Instinct and reg; Limited Ingredient Wet Cat Food - Natural, Grain Free",Instinct,"Nature's Variety and reg; Instinct and reg; Limited Ingredient Wet Cat Food - Natural, Grain Free",5279756,1,176.9375,4.0
"Armarkat 58-in Faux Fur Multi-Level Real Wood Cat Tree, Beige",Armarkat,"Armarkat 58-in Faux Fur Multi-Level Real Wood Cat Tree, Beige",5305316,1,17811.3125,3.0
"Old Mother Hubbard Extra Tasty Assorted Dog Treats, Mini",Old Mother Hubbard,"Old Mother Hubbard Extra Tasty Assorted Dog Treats, Mini",5167118,1,649.5625,4.7378
Nature's Miracle and reg; Just for Cats Advanced Stain  and amp; Odor Remover - Sunny Lemon,Nature's Miracle,Nature's Miracle and reg; Just for Cats Advanced Stain  and amp; Odor Remover - Sunny Lemon,5266568,1,2136.3125,3.75
Fresh Pawz Pastel Pink Dog Hoodie,Fresh Pawz,Fresh Pawz Pastel Pink Dog Hoodie,5330337,0,4750.0,4.265497674418605
Wet Ones for Pets Deodorizing Multipurpose Wipes for Dogs - 30 ct,Wet Ones,Wet Ones for Pets Deodorizing Multipurpose Wipes for Dogs - 30 ct,5310344,0,450.0625,5.0
Vet Worthy Styptic Powder- Cat,Vet Worthy,Vet Worthy Styptic Powder- Cat,5320624,1,1898.8125,4.265497674418605
Great Choice and reg; Cuts In Gravy Adult Dog Food,Great Choice,Great Choice and reg; Cuts In Gravy Adult Dog Food,5158760,0,89.0625,4.7143
Pedigree and reg; Dentastix Dual Flavor Small Breed Adult Dental Dog Treats - Bacon  and amp; Chicken,Pedigree,Pedigree and reg; Dentastix Dual Flavor Small Breed Adult Dental Dog Treats - Bacon  and amp; Chicken,5323400,1,1542.5625,4.25
"Hill's and reg; Science Diet and reg; Healthy Cuisine Kitten Wet Cat Food - Chunks  and amp; Gravy, 2.8 oz",Hill's Science Diet,"Hill's and reg; Science Diet and reg; Healthy Cuisine Kitten Wet Cat Food - Chunks  and amp; Gravy, 2.8 oz",5246504,1,212.5625,4.6774
SmartBones and reg; SmartSticks Dog Treat - Chicken,SmartBones,SmartBones and reg; SmartSticks Dog Treat - Chicken,5266079,1,1993.8125,4.5556
Ben  and amp; Jerry's Pontch's Mix Doggie Desserts Frozen Dog Treat - Peanut Butter  and amp; Pretzel Swirl,BEN &amp; JERRY'S,Ben  and amp; Jerry's Pontch's Mix Doggie Desserts Frozen Dog Treat - Peanut Butter  and amp; Pretzel Swirl,5313055,0,1305.0625,4.7647
"Nulo MedalSeries  All Life stages Dry Cat Food - High-Protein, Cod  and amp; Duck",Nulo,"Nulo MedalSeries  All Life stages Dry Cat Food - High-Protein, Cod  and amp; Duck",5256360,1,3086.3125,4.8
Petstages and reg; Alpha Core Bone Chew Dog Toy - Bacon Flavor,Petstages,Petstages and reg; Alpha Core Bone Chew Dog Toy - Bacon Flavor,5308328,1,1186.3125,2.0
Top Paw and reg; Water Dog Hot Dog Dog Toy,Top Paw,Top Paw and reg; Water Dog Hot Dog Dog Toy,5327453,1,364.5625,4.265497674418605
"Armarkat 64-in Faux Fur Real Wood Cat Tree, Silver Gray  and amp; Almond",Armarkat,"Armarkat 64-in Faux Fur Real Wood Cat Tree, Silver Gray  and amp; Almond",5180865,1,15172.6875,2.0
"Nulo MedalSeries  Dry Cat Food Topper - , Chicken  and amp; Salmon",Nulo,"Nulo MedalSeries  Dry Cat Food Topper - , Chicken  and amp; Salmon",5302485,1,2017.5624999999998,4.25
"Purina Pro Plan Savor  Adult Wet Cat Food - Antioxidants, High-Protein, 3 Oz",Purina Pro Plan,"Purina Pro Plan Savor  Adult Wet Cat Food - Antioxidants, High-Protein, 3 Oz",5200244,0,161.5,4.5714
Hill's and reg; Prescription Diet and reg; Soft Baked Dog Treats - Chicken,Hill's Prescription Diet,Hill's and reg; Prescription Diet and reg; Soft Baked Dog Treats - Chicken,5296573,0,1305.0625,4.6087
Buffalo Bills Football Rope Dog Toy,Pets First,Buffalo Bills Football Rope Dog Toy,5305745,1,1542.5625,4.265497674418605
"Wellness and reg; Complete Health Senior Cat Food - Natural, Grain Free, Chicken  and amp; Chicken Meal",Wellness,"Wellness and reg; Complete Health Senior Cat Food - Natural, Grain Free, Chicken  and amp; Chicken Meal",5287810,1,2611.3125,4.2544
Snoozer and reg; Overstuffed Luxury Show Dog Sofa Pet Bed,Snoozer,Snoozer and reg; Overstuffed Luxury Show Dog Sofa Pet Bed,5289792,1,27900.3125,4.265497674418605
"Wellness and reg; CORE and reg; Kitten Food - Natural, Grain Free",Wellness,"Wellness and reg; CORE and reg; Kitten Food - Natural, Grain Free",5178643,1,378.8125,4.4275
Pendleton Ombre Plaid Kuddler Dog Bed,Pendleton,Pendleton Ombre Plaid Kuddler Dog Bed,5289453,1,20187.5,4.265497674418605
Hill's and reg; Science Diet and reg; Indoor Senior 11+ Dry Cat Food - Chicken,Hill's Science Diet,Hill's and reg; Science Diet and reg; Indoor Senior 11+ Dry Cat Food - Chicken,5202969,0,2136.3125,4.6526
Pedigree and reg; Dentastix Large Breed Adult Dental Dog Treats - Fresh,Pedigree,Pedigree and reg; Dentastix Large Breed Adult Dental Dog Treats - Fresh,5323401,1,1542.5625,4.7586
Playology  and reg; Puppy Teething Bone Scented Dog Toy - Beef,Playology,Playology  and reg; Puppy Teething Bone Scented Dog Toy - Beef,5324360,1,2611.3125,3.5
"Blue Buffalo and reg; Wilderness and amp;trade;  All Life Stages Wet Dog Food - Grain Free, 12.5 Oz.",Blue Buffalo,"Blue Buffalo and reg; Wilderness and amp;trade;  All Life Stages Wet Dog Food - Grain Free, 12.5 Oz.",5247762,1,378.8125,4.5595
Joyhound Crazy Comfy Plush Weave Alligator Dog Toy - Squeaker,Joyhound,Joyhound Crazy Comfy Plush Weave Alligator Dog Toy - Squeaker,5323969,1,1305.0625,4.6875
Calm Paws Premium Recovery Vest and Calming Disk for Dogs,Calm Paws,Calm Paws Premium Recovery Vest and Calming Disk for Dogs,5309817,1,6292.5625,3.74
Pets First Las Vegas Raiders Signature Pro Dog Collar,Pets First,Pets First Las Vegas Raiders Signature Pro Dog Collar,5326003,1,2256.25,4.265497674418605
Indiana Hoosiers NCAA Field Dog Toy,Pets First,Indiana Hoosiers NCAA Field Dog Toy,5243938,1,1542.5625,4.265497674418605
Whisker City and reg; Tinsel Ball Cat Toy - (COLOR VARIES),Whisker City,Whisker City and reg; Tinsel Ball Cat Toy - (COLOR VARIES),5288005,0,236.3125,4.2889
Pets First Brooklyn Nets Dog Leash,Pets First,Pets First Brooklyn Nets Dog Leash,5325991,1,1662.5,4.265497674418605
"Tiki Dog and reg; Taste of Greece Dog Wet Food - Lamb, Couscous  and amp; Chickpea",Tiki Dog,"Tiki Dog and reg; Taste of Greece Dog Wet Food - Lamb, Couscous  and amp; Chickpea",5310262,0,533.1875,4.265497674418605
"Fancy Feast and reg; Broths Adult Cat Wet Food - 1.55 oz., Limited Ingredients, Grain Free",Fancy Feast,"Fancy Feast and reg; Broths Adult Cat Wet Food - 1.55 oz., Limited Ingredients, Grain Free",5231496,0,176.9375,4.5494
Whisker City and reg; White  and amp; Pink Unicorn Hut Cat Bed,Whisker City,Whisker City and reg; White  and amp; Pink Unicorn Hut Cat Bed,5305226,0,3111.25,4.8462
Top Paw and reg; Thermoplastic Rubber Ball Dog Toy,Top Paw,Top Paw and reg; Thermoplastic Rubber Ball Dog Toy,5304000,1,711.3125,3.7778
K and amp;H Pet Products Thermo-Kitty Heated Cat Bed,K&amp;H,K and amp;H Pet Products Thermo-Kitty Heated Cat Bed,5149449,1,5817.5625,4.619
"Purina Pro Plan Focus  Adult Wet Cat Food - Grain Free, No Artificial Colors, 3 Oz",Purina Pro Plan,"Purina Pro Plan Focus  Adult Wet Cat Food - Grain Free, No Artificial Colors, 3 Oz",5299097,1,182.875,4.7179
Whisker City and reg; Camo Easy Release Kitten  and amp; Cat Collar,Whisker City,Whisker City and reg; Camo Easy Release Kitten  and amp; Cat Collar,5312631,1,1186.3125,3.25
Top Paw and reg; Blue Tie Dye Adjustable Dog Collar,Top Paw,Top Paw and reg; Blue Tie Dye Adjustable Dog Collar,5307605,1,2017.5624999999998,3.0
PetArmor and reg; Plus for Dogs 89-132 lbs Flea  and amp; Tick Spot On Treatment,PetArmor,PetArmor and reg; Plus for Dogs 89-132 lbs Flea  and amp; Tick Spot On Treatment,5271986,1,3442.5625,4.1055
Baltimore Ravens NFL Field Dog Toy,Pets First,Baltimore Ravens NFL Field Dog Toy,5233933,1,1542.5625,4.265497674418605
"Blue Buffalo and reg; Blue Natural Veterinary Diet and amp;trade;  Adult Dry Dog Food - Natural, Chicken",Blue Buffalo Natural Veterinary Diet,"Blue Buffalo and reg; Blue Natural Veterinary Diet and amp;trade;  Adult Dry Dog Food - Natural, Chicken",5314875,1,3619.5,3.8333
Pendleton Vintage Camp Oxford Black Napper Dog Dog,Pendleton,Pendleton Vintage Camp Oxford Black Napper Dog Dog,5325247,1,16506.25,4.265497674418605
"Collachews Rawhide Alternative 6 and quot; Rolls Collagen Dog Treats - Natural, Bully",Collachews,"Collachews Rawhide Alternative 6 and quot; Rolls Collagen Dog Treats - Natural, Bully",5322504,1,2967.5625,5.0
Top Paw and reg; X-Large Black Plaid Pillow Dog Bed,Top Paw,Top Paw and reg; X-Large Black Plaid Pillow Dog Bed,5302730,0,2371.4375,4.32
KONG and reg; Double Handle Vest Dog Harness,KONG,KONG and reg; Double Handle Vest Dog Harness,5323730,0,5342.5625,4.265497674418605
Whisker City and reg; Reflective Stripe Cat Collar,Whisker City,Whisker City and reg; Reflective Stripe Cat Collar,5265493,0,602.0625,3.3077
"Purina ONE and reg; +Plus Puppy Dog Dry Food - Chicken, Natural, High-Protein",Purina ONE,"Purina ONE and reg; +Plus Puppy Dog Dry Food - Chicken, Natural, High-Protein",5180506,1,3442.5625,4.7675
"Blue Buffalo and reg; Wilderness and amp;trade;  All Life Stages Dry Cat Food - Grain Free, Beef",Blue Buffalo,"Blue Buffalo and reg; Wilderness and amp;trade;  All Life Stages Dry Cat Food - Grain Free, Beef",5323134,1,3678.875,4.0
Top Paw and reg; Faux Fur Snuggler Dog Bed,Top Paw,Top Paw and reg; Faux Fur Snuggler Dog Bed,5302897,1,3561.3125,4.6897
Los Angeles Angels MLB Dog Collar,Pets First,Los Angeles Angels MLB Dog Collar,5271011,1,1898.8125,4.265497674418605
Made By Cleo and reg; Snow Cone Plaid Cat Bow Tie,Made By Cleo,Made By Cleo and reg; Snow Cone Plaid Cat Bow Tie,5333552,1,1305.0625,4.265497674418605
Nature's Miracle and reg; Just for Cats Advanced Stain  and amp; Odor Remover,Nature's Miracle,Nature's Miracle and reg; Just for Cats Advanced Stain  and amp; Odor Remover,5268776,1,2136.3125,2.3333
"Merrick and reg; Healthy Grains Small Breed Adult Dry Dog Food - Chicken, No Artificial Preservatives  and amp; Colo",Merrick,"Merrick and reg; Healthy Grains Small Breed Adult Dry Dog Food - Chicken, No Artificial Preservatives  and amp; Colo",5299403,1,5697.625,4.4167
"Instinct and reg; Raw Boost Dog Food - Natural, Grain Free, Freeze Dried Raw, Chicken",Instinct,"Instinct and reg; Raw Boost Dog Food - Natural, Grain Free, Freeze Dried Raw, Chicken",5248205,1,9498.8125,4.871
Merrick and reg; Fresh Kisses and amp;trade; Double-Brush Large Dental Dog Treat - 1 Count,Merrick,Merrick and reg; Fresh Kisses and amp;trade; Double-Brush Large Dental Dog Treat - 1 Count,5288667,1,415.625,4.0625
Chuckit! and reg; Crunch Super Crunch Ball Dog Toy,Chuckit!,Chuckit! and reg; Crunch Super Crunch Ball Dog Toy,5308327,1,1186.3125,4.3333
Meowijuana and reg; Crunchie Munchies Cat Treats,Meowijuana,Meowijuana and reg; Crunchie Munchies Cat Treats,5304906,1,592.5625,4.0
Nulo MedalSeries  Wet Cat Treat - Electrolytes,Nulo,Nulo MedalSeries  Wet Cat Treat - Electrolytes,5309174,1,438.1875,3.5714
"Hill's and reg; Science Diet and reg; Perfect Weight Adult Wet Dog Food - Vegetable  and amp; Chicken Stew, 12.5 oz",Hill's Science Diet,"Hill's and reg; Science Diet and reg; Perfect Weight Adult Wet Dog Food - Vegetable  and amp; Chicken Stew, 12.5 oz",5246994,1,355.0625,4.7068
"Mad Cat Hot Sauce Cat Toy - Catnip, Silvervine, Plush",Mad Cat,"Mad Cat Hot Sauce Cat Toy - Catnip, Silvervine, Plush",5305878,0,352.6875,4.9167
Thrills  and amp; Chills and amp;trade; Halloween Tennis Ball Dog Toy - 3 Pack,Thrills &amp; Chills,Thrills  and amp; Chills and amp;trade; Halloween Tennis Ball Dog Toy - 3 Pack,5310627,1,602.0625,3.0
Burt's Bees and reg; Hydrating Dog Conditioner - Coconut Oil,Burt's Bees,Burt's Bees and reg; Hydrating Dog Conditioner - Coconut Oil,5258278,1,1661.3125,4.25
Dr. Elsey's Precious Cat Crystal Multi-Cat Silica Cat Litter,Dr. Elsey's,Dr. Elsey's Precious Cat Crystal Multi-Cat Silica Cat Litter,5124258,0,2789.4375,4.1471
"Nulo MedalSeries  Wet Cat Food Topper - Limited Ingredient, 2.8 Oz.",Nulo,"Nulo MedalSeries  Wet Cat Food Topper - Limited Ingredient, 2.8 Oz.",5268798,1,260.0625,5.0
"Nature's Recipe Dry Dog Food Adult - Chicken, Sweet Potato, Pumpkin",Nature's Recipe,"Nature's Recipe Dry Dog Food Adult - Chicken, Sweet Potato, Pumpkin",5177228,1,1305.0625,4.5814
Pendleton Zion National Park Adventure Dog Collar,Pendleton,Pendleton Zion National Park Adventure Dog Collar,5325045,1,3740.625,4.265497674418605
"Fancy Feast and reg; Gravy Lovers All Life Stages Cat Wet Food - 5.53 lb., With Vitamins",Fancy Feast,"Fancy Feast and reg; Gravy Lovers All Life Stages Cat Wet Food - 5.53 lb., With Vitamins",5164704,1,2433.1875,4.7129
Made By Cleo and reg; Holiday Holly Christmas Botanical Slide-On Cat Bandana,Made By Cleo,Made By Cleo and reg; Holiday Holly Christmas Botanical Slide-On Cat Bandana,5333483,1,1542.5625,4.265497674418605
Catit and reg; PIXI Smart Cat Feeder,Catit,Catit and reg; PIXI Smart Cat Feeder,5307818,1,15436.312500000002,2.6
"Wellness and reg; CORE and reg; Kitten Dry Cat Food - Turkey  and amp; Chicken, Natural, Grain Free",Wellness,"Wellness and reg; CORE and reg; Kitten Dry Cat Food - Turkey  and amp; Chicken, Natural, Grain Free",5178636,1,1542.5625,4.4267
Top Paw and reg; Dog Print Reusable Shopping Tote Bag,Top Paw,Top Paw and reg; Dog Print Reusable Shopping Tote Bag,5294176,0,237.5,4.875
Authority and reg; Everyday Health Large Breed Adult Dry Dog Food - Chicken,Authority,Authority and reg; Everyday Health Large Breed Adult Dry Dog Food - Chicken,5278690,1,6648.8125,4.3869
Hill's and reg; Prescription Diet and reg; c/d Multicare Urinary Care Cat Food - Chicken,Hill's Prescription Diet,Hill's and reg; Prescription Diet and reg; c/d Multicare Urinary Care Cat Food - Chicken,5072073,1,302.8125,4.4931
"Blue Buffalo and reg; Freedom and amp;trade;  Adult Wet Cat Food - Grain Free, 5.5 Oz.",Blue Buffalo,"Blue Buffalo and reg; Freedom and amp;trade;  Adult Wet Cat Food - Grain Free, 5.5 Oz.",5200143,1,207.8125,4.4
VetIQ Multivitamin Hickory Smoke Flavor Soft Chew Dog Supplement - 90ct,VetIQ,VetIQ Multivitamin Hickory Smoke Flavor Soft Chew Dog Supplement - 90ct,5312934,1,1067.5625,4.7778
Chicago White Sox MLB Dog Collar,Pets First,Chicago White Sox MLB Dog Collar,5270900,1,1898.8125,4.265497674418605
Previcox Chewable Tablets for Dogs 57 mg,Previcox,Previcox Chewable Tablets for Dogs 57 mg,5315994,1,12472.3125,4.265497674418605
"Solid Gold Wholesome Selects and amp;trade; Adult Cat Food - Chunks, Grain Free, Gluten Free",Solid Gold,"Solid Gold Wholesome Selects and amp;trade; Adult Cat Food - Chunks, Grain Free, Gluten Free",5281443,1,200.6875,3.5
Ark Naturals Protection + Brushless Toothpaste 5 in 1 Large Dog Dental Treats,Ark Naturals,Ark Naturals Protection + Brushless Toothpaste 5 in 1 Large Dog Dental Treats,5323254,1,6530.0625,5.0
ROAM and reg; Bucky Trachs and amp;trade; Dog Treat - Outback Kangaroo,ROAM,ROAM and reg; Bucky Trachs and amp;trade; Dog Treat - Outback Kangaroo,5307981,0,711.3125,4.8
"Great Choice and reg; Delightfuls Cat Treat - Chicken, With-Grain",Great Choice,"Great Choice and reg; Delightfuls Cat Treat - Chicken, With-Grain",5298156,1,1126.9375,2.5769
Lucy  and amp; Co. Monster Mingle Reversible Dog Harness,Lucy &amp; Co.,Lucy  and amp; Co. Monster Mingle Reversible Dog Harness,5325241,0,3917.5625000000005,5.0
"Eukanuba Fit Body Weight Control Small Breed Dry Dog Food, 15 lb",Eukanuba,"Eukanuba Fit Body Weight Control Small Breed Dry Dog Food, 15 lb",5286363,1,6411.3125,4.7385
Nylabone and reg; DuraChew and reg; Power Chew Pretzel Dog Toy - Bacon  and amp; Peanut Butter Flavor,Nylabone,Nylabone and reg; DuraChew and reg; Power Chew Pretzel Dog Toy - Bacon  and amp; Peanut Butter Flavor,5307873,1,1186.3125,4.4615
"Whisker City and reg; Hipcat Retro Game Cat Toy - Catnip, Plush",Whisker City,"Whisker City and reg; Hipcat Retro Game Cat Toy - Catnip, Plush",5287530,0,473.8125,4.265497674418605
Fancy Feast and reg; Creamy Delights Adult Cat Wet Food - 3.33 oz.,Fancy Feast,Fancy Feast and reg; Creamy Delights Adult Cat Wet Food - 3.33 oz.,5263651,0,102.125,4.0968
Made By Cleo and reg; Velvet Cat Bow Tie,Made By Cleo,Made By Cleo and reg; Velvet Cat Bow Tie,5333564,1,1305.0625,4.265497674418605
"Wellness and reg; CORE and reg; Adult Dog Food - Natural, Grain Free, Original Formula",Wellness,"Wellness and reg; CORE and reg; Adult Dog Food - Natural, Grain Free, Original Formula",5171472,1,2492.5625,4.7126
Top Paw and reg; Double Diner Dog Stand With Bowls,Top Paw,Top Paw and reg; Double Diner Dog Stand With Bowls,5128755,0,3323.8125,3.6087
"Natural Balance Platefulls Indoor Adult Cat Food - Grain Free, Chicken  and amp; Chicken Liver",Natural Balance,"Natural Balance Platefulls Indoor Adult Cat Food - Grain Free, Chicken  and amp; Chicken Liver",5235447,1,153.1875,4.3333
Top Paw and reg; Water Dog SO SOUR Lime Dog Toy,Top Paw,Top Paw and reg; Water Dog SO SOUR Lime Dog Toy,5327451,1,364.5625,4.265497674418605
"Rachael Ray Nutrish Dry Cat Food All Ages - Chicken, Brown Rice",Rachael Ray Nutrish,"Rachael Ray Nutrish Dry Cat Food All Ages - Chicken, Brown Rice",5277689,1,2967.5625,4.785
Pets First Seattle Seahawks Football Rope Dog Toy,Pets First,Pets First Seattle Seahawks Football Rope Dog Toy,5305766,1,1542.5625,4.265497674418605
Canidae Under the Sun Pate Dog Wet Food - Grain Free,CANIDAE,Canidae Under the Sun Pate Dog Wet Food - Grain Free,5288828,0,390.6875,4.265497674418605
"Merrick and reg; Healthy Grains Healthy Weight Adult Dry Dog Food - Chicken, Carrageenan Free, Corn Free",Merrick,"Merrick and reg; Healthy Grains Healthy Weight Adult Dry Dog Food - Chicken, Carrageenan Free, Corn Free",5306544,1,2728.875,4.4156
"Netflix Stranger Things Steve Harrington Babysitter Bat Dog Toy - Plush, Squeaker",Netflix,"Netflix Stranger Things Steve Harrington Babysitter Bat Dog Toy - Plush, Squeaker",5325000,1,1423.8125,3.25
South Carolina Gamecocks NCAA Dog Collar,Pets First,South Carolina Gamecocks NCAA Dog Collar,5242458,1,1780.0625,4.265497674418605
Fresh Pawz Le Fleur Cooling Dog Bandanna,Fresh Pawz,Fresh Pawz Le Fleur Cooling Dog Bandanna,5330160,1,1425.0,4.265497674418605
Fancy Feast and reg; Medleys Adult Cat Wet Food - 2.8 lb.,Fancy Feast,Fancy Feast and reg; Medleys Adult Cat Wet Food - 2.8 lb.,5164052,1,1495.0625,4.5714
Dog MX and amp;trade; Plastic E-Collar,Dog MX,Dog MX and amp;trade; Plastic E-Collar,5319482,1,2255.0625,3.3559
Puppia and reg; Mountaineer II Dog Harness Coat,Puppia,Puppia and reg; Mountaineer II Dog Harness Coat,5318729,0,8787.5,3.4286
PetSafe and reg; Wireless Pet Containment System Receiver Dog Collar,PetSafe,PetSafe and reg; Wireless Pet Containment System Receiver Dog Collar,5005401,1,17212.8125,4.234
"Blue Buffalo and reg; Wilderness and amp;trade;  Adult Dry Dog Food - Grain Free, Chicken",Blue Buffalo,"Blue Buffalo and reg; Wilderness and amp;trade;  Adult Dry Dog Food - Grain Free, Chicken",5162673,0,2373.8125,4.6467
Whisker City and reg; Shimmer Ball Cat Toy (COLOR VARIES),Whisker City,Whisker City and reg; Shimmer Ball Cat Toy (COLOR VARIES),5324010,0,236.3125,5.0
Puppia and reg; Neon Soft Step-In Vest Dog Harness,Puppia,Puppia and reg; Neon Soft Step-In Vest Dog Harness,5267427,1,3086.3125,5.0
